id,id_cliente,valor_total
92a465fa-d1b0,C8945,322.14
3ca5ff8b-4e8c,C3267,132.61
13fdc710-c5a2,C4356,427.43
e95f0306-da5c,C6303,382.5
9157da94-d4ce,C10164,281.14
6021fd78-bfd6,C3266,118.07
3a01ba75-5601,C498,96.15
ae9770ac-282a,C8475,545.92
cdfc94c3-5e10,C6263,367.75
79178f6d-893f,C544,261.7
834af5e0-abf3,C4608,242.14
03b2ba5c-c8a8,C3202,195.27
a6239771-8f9c,C6730,180.44
11951431-8a6e,C988,187.89
87a0dad4-5f1c,C1103,1137.67
659d5b5d-072e,C10634,165.0
46d5015f-bfbd,C7212,98.21
19eaf5c8-7548,C5223,127.47
e6a81b47-c00b,C2747,703.5
dfe6382d-96df,C2061,211.4
664e5ec9-ac7a,C807,142.92
e9b85868-5490,C7224,108.83
66003919-7d7b,C4298,60.79
8a34ddf2-0c1b,C2831,181.5
814f4ce2-c11c,C2495,205.59
1dd9ee23-0c9a,C9308,261.7
8d85ab21-3c94,C1411,382.44
49d79123-1eef,C3254,328.11
429527c2-b104,C8477,108.9
74a5753c-14cb,C10598,388.0
b71208e0-726c,C271,1691.0
b8bd03df-d77f,C2674,391.38
5a3aa2f3-4ac1,C11084,271.2
76b4637e-0e4b,C10951,158.58
1ca0bca4-7843,C7943,101.8
dbc1b7e2-ed1f,C4508,195.62
a329ad96-da2a,C1726,470.5
6372de1b-c52a,C8890,161.29
3f555684-15c3,C6183,271.44
7d0ebaec-b9f9,C2591,187.06
552257c4-3825,C9624,160.47
ee73344c-9bbb,C4686,264.62
36eae5d8-aa4a,C9596,247.27
82404704-6480,C4998,198.12
fceb4ecc-73d7,C3107,228.54
14015afd-fda8,C6222,94.0
a2de2861-bb26,C2878,312.33
2bd84567-b88c,C10127,143.82
2d77b776-e8b6,C10862,317.75
bfcc4770-e30f,C4050,121.53
ddbb5d12-d8d0,C11091,90.06
d18e62f7-a2fe,C9477,123.68
d9bf6155-09ed,C3852,445.71
34b69ce2-1bbe,C4480,125.9
8d0fbc51-80da,C550,649.25
3d9b02d9-f13b,C254,140.25
8b6eec64-e264,C9971,124.09
f8a692b7-c07d,C8216,224.0
b9b8fd55-4d2c,C6999,181.38
21657e0b-413d,C3783,157.29
23f9a224-504f,C3009,373.25
4d2c7da4-6ddf,C10466,264.14
dd5dd688-f690,C3602,178.5
d58fc675-f670,C8566,79.82
3ce4cdb5-3ce6,C7861,200.56
cc11ff98-4925,C2694,126.93
fdd3452d-31ad,C9597,145.71
e6ecc580-8eb4,C9958,182.4
af43644b-32c4,C6019,103.07
a1f58a03-f09f,C4973,38.95
5aa8ffaa-2b0a,C10562,309.33
7893f4d0-26af,C5455,190.43
25b0283e-57c3,C1225,185.44
49b0e673-e418,C11010,84.62
1b274e66-2b59,C5654,107.21
374d3c8a-0ee3,C2831,181.5
267c61fd-6553,C2225,191.11
e0d8db99-6220,C5868,113.71
e8b0235a-9f22,C3011,221.54
71ef6bae-2655,C7007,102.5
13246737-4a09,C3945,315.33
9f1e2f2f-b93e,C2795,1271.0
bb2df766-f257,C9829,51.78
6d661347-8175,C6999,181.38
27266421-2f49,C2115,122.82
1fddaf69-a676,C9723,313.44
31dfa5e3-1d25,C641,144.6
e45d2438-44b7,C2345,324.22
de83195f-c61b,C10500,82.69
3808b79e-4e99,C5967,231.83
22900cef-6ed1,C6439,636.0
e1b441af-abf9,C7428,371.0
1b9a5e6b-59b6,C17,504.0
128eb6dd-4477,C10091,627.25
68f9c7d1-4119,C9529,279.09
de688379-3cd3,C7128,298.5
babae968-db27,C3050,205.27
30cc27a2-9594,C4608,242.14
0f249ef0-4cfb,C4887,230.8
540afa7f-c6a6,C4136,34.67
1e414841-aa9e,C6222,94.0
2f681a4f-83f3,C3231,158.2
10a236ff-ff38,C7947,125.64
a4bf1b22-a15c,C10779,61.47
4753c230-9057,C9204,2780.0
2fa790b7-9d7b,C6355,108.71
d659fede-b5b6,C7712,161.81
99c26fd4-8a04,C4939,393.25
624024bd-76cd,C5025,183.73
31baa9ad-3b2a,C9960,69.94
a43828cc-9df4,C6722,163.0
63063920-b670,C11010,84.62
0044304b-c235,C8235,240.42
fa238f0e-23d0,C2055,93.38
1a1ec1d3-e050,C4047,123.68
6fffe1f4-172d,C2569,360.5
2678c5c4-3413,C8737,144.69
897eb966-beb7,C49,38.95
6e8f922a-471e,C9960,69.94
08547f41-c735,C4331,297.67
d168c10d-95a2,C2286,235.11
94c6e841-88bb,C2963,242.0
5d87bed3-bd90,C1655,159.0
6d873e2d-2976,C5336,2190.67
339ccd36-4d26,C8235,240.42
59ca0c9b-42c6,C10364,161.67
a7cf1d3f-e59d,C1377,232.0
939bc7d5-f86d,C3491,776.33
0682137c-fc5e,C10150,360.1
213b1a9b-79c1,C6200,451.71
819f764e-245d,C10992,788.5
10f315f2-abe0,C8104,277.62
a1e12b22-a444,C2174,101.63
577ec7e2-2d08,C10430,467.12
658d8710-539c,C3153,242.43
e5582442-0491,C10150,360.1
1214efec-9579,C1340,258.07
8ea6dbf0-1f90,C2392,280.0
bbfd7f75-97a8,C5237,169.25
036f966b-c588,C4961,73.75
26cdbfcc-c0fb,C3515,199.69
96c9fe41-603c,C8805,203.7
daebf2f5-cf63,C10380,196.75
5968a935-6f1c,C5092,195.27
2d5b7552-a8c2,C3711,278.42
6b4a84b4-f856,C5186,105.91
c7b41d6a-38ee,C3790,120.25
b03aa916-4e2a,C5899,16.79
dc9dd505-47fd,C10556,143.19
7eec255f-d656,C1503,3383.0
8c5104f5-d6c8,C3005,290.0
24cc12ea-9f3c,C4480,125.9
ae7a7b49-4605,C2245,606.0
106a8068-e9bb,C4137,588.8
a5fe5b09-b0a0,C10350,283.5
88e82e78-3cdd,C1515,118.67
46c0d75e-ea88,C10735,135.71
fe71ccbb-6358,C5287,85.65
1fa59b93-cdc9,C7118,279.55
3fc775dd-828d,C6211,119.85
088d4669-45dc,C1672,227.92
a4f22ffd-b300,C8318,268.71
1cc68c53-89c6,C1,139.88
42a15d84-7f55,C10133,169.87
da7ed9e8-c4a9,C7186,75.59
28a4ea81-5b15,C988,187.89
4e1ae3e7-3e95,C24,54.92
af53fb83-d901,C9264,207.06
20df5d27-4e1a,C3182,130.13
6a43dd19-ffb2,C4322,294.91
893a3fa4-992d,C3170,354.88
e112f65c-b932,C8362,584.5
7bdc9224-4461,C10623,201.3
58ddd4dd-e711,C3388,295.1
fd9f0946-56d5,C11051,153.52
8c15dfa8-5034,C6461,653.75
79f30ea7-0083,C10619,442.22
f2a98a94-17b3,C1461,256.33
dbd66aff-2cbf,C9725,74.88
7584c5b0-cce1,C387,312.0
ee2eab56-541e,C5299,287.8
9871caf9-71da,C5121,168.5
593b95f6-f767,C10469,230.0
f9f0489b-cfa2,C3517,340.6
575767c0-9983,C4338,116.21
ebcbd7b1-b1e2,C5154,157.3
62920215-912f,C5313,106.07
80f9eff0-2b71,C535,242.14
96c8e564-9f9f,C9323,415.8
0b11d7d1-3f04,C8375,166.5
f70e166e-49c6,C1020,144.17
3e5b8a69-c5ba,C1127,210.35
48ea6826-60a9,C9970,256.33
0bc3d5e5-4bb9,C3535,197.29
feefef85-47d3,C4399,159.0
741d2bd1-af9a,C4640,981.0
507b2509-646e,C4452,123.47
401b8f90-7299,C9150,88.61
7a36b013-4e85,C954,61.4
54c010e7-0043,C2296,141.55
46ca3be3-e759,C7943,101.8
879e2c9a-9c15,C10377,389.0
e6f36a4a-98bf,C1127,210.35
b0953de1-693d,C6488,95.12
c669a229-f9ef,C8932,1357.5
144be670-5083,C9589,213.62
8d4487dd-2a22,C3852,445.71
9bfaf6fd-5c1b,C6103,351.6
898b2f52-1c63,C5062,375.5
63dcb661-8358,C5491,197.3
c21674d1-e4db,C5975,186.56
96d94f24-d458,C10846,107.29
33c21aae-7613,C5794,138.0
a2613db8-a0d5,C3635,121.72
f62c1592-fa72,C9923,241.75
c8a62e0c-3d9e,C7620,168.5
e6b83c28-fc49,C2611,312.73
488b52de-9f18,C6262,334.33
137493c4-3ad2,C5299,287.8
c28ef995-a52a,C7186,75.59
b21f3098-de45,C4988,95.73
4f57b626-38f5,C2945,127.8
e8b5b9db-259f,C8079,66.79
d5e3cc9f-9547,C2607,168.6
f4b42215-e275,C1604,197.3
5eecd59f-7bb8,C10133,169.87
194f6e7d-35a7,C3170,354.88
0811695e-85bb,C988,187.89
850530c3-8520,C8595,80.32
a87432dc-e940,C9665,753.0
54199919-38f3,C9727,70.0
da1a4035-9e69,C1064,176.6
2a06ac17-d77c,C6336,71.82
cc7d3513-d067,C7875,187.56
915fb718-eb14,C8414,198.86
d4f2d561-5669,C3551,166.73
491c645b-44b4,C9725,74.88
b9e8950a-9a1c,C8504,144.17
12dcd685-fa41,C4301,162.78
81ea6dfa-9829,C3565,106.8
7b3f2758-eedb,C2986,55.74
50eabee3-d4d5,C5961,98.78
e45b4b20-ab53,C7408,162.29
8a40eb57-c34e,C2875,186.13
8fa9a3b6-1f95,C2315,162.2
98237e3a-6388,C902,174.93
146c9ea6-8c18,C9493,795.75
9e1c9584-5bbf,C8070,188.25
0144c8eb-1d07,C4988,95.73
3b13166f-5b25,C5954,221.88
9267deb3-68b8,C7321,198.12
5f67a7de-8469,C3463,169.76
a0b5888f-9abb,C6534,133.0
245c64ec-284e,C10548,148.25
0e49bb8f-2ced,C9955,151.09
730de697-d03a,C1077,337.57
d2c40749-6a1e,C807,142.92
ace88c33-01b8,C6864,28.56
f74a0af9-fd00,C10203,181.17
b35d9df6-591f,C11084,271.2
268dc123-6a9e,C3726,110.0
d3f1989f-0ea8,C5824,65.45
30a41727-ff0b,C10560,90.18
2c96db34-131c,C2875,186.13
985300d0-b761,C1515,118.67
a5a8c6e9-f4c2,C10286,249.14
d3d19069-c9e2,C6866,106.86
c18726c3-bc9d,C7972,379.62
17bb1b0d-826d,C4037,265.4
d121a8ef-f452,C6055,271.27
d678e7b9-478a,C8805,203.7
c3e4318b-fdd3,C3308,106.21
af5f22cc-a9f4,C1055,158.29
9117e99e-7347,C2415,144.83
6e1842da-0192,C10701,272.1
338844f6-331a,C10350,283.5
467ce96e-e76f,C5529,127.0
c3da250c-96fb,C5186,105.91
1dd435b7-52f0,C4796,137.87
c8857a1c-b797,C2875,186.13
1aebe3f8-7a00,C4501,323.44
a05ddbcc-d640,C5748,226.27
73da1027-8804,C8314,832.25
92f0243e-67c8,C961,283.0
f8d5af87-0f97,C544,261.7
47476168-6362,C2345,324.22
57bad1d0-acd2,C7196,90.21
ddde4d7c-60c0,C9750,446.67
688cca43-8ac1,C8799,198.75
6799c7ae-1873,C1992,210.33
4cd1d4d0-1f75,C8146,87.32
25650c4b-f900,C6424,106.31
a60ce7d2-cdac,C7325,318.2
9c632d31-ee95,C477,204.65
61c7b9a8-0796,C3011,221.54
f839a0e4-5faf,C9477,123.68
9fbeb038-7f9c,C5547,584.5
71c85d98-182c,C7646,206.54
3603b0df-ea7c,C3667,3373.0
8c7f9b96-6a30,C10833,169.5
1898fdd4-b290,C6019,103.07
7178ed89-faef,C5287,85.65
b63ce5fc-a97e,C4426,290.62
f3d1b895-194a,C9974,116.0
96eda0ff-2833,C2410,283.5
bc70d879-001b,C6203,443.29
78cf0d46-e58b,C4184,120.72
79713eca-ad64,C10870,510.0
2da23eba-9841,C9384,251.36
038593d0-1815,C254,140.25
c1be3a7e-7817,C10432,62.0
ce9c0d9e-9961,C1349,140.07
33158547-3053,C9481,54.92
9bec0417-d2c2,C10128,321.29
3484f285-c5e2,C8800,2039.0
4ee8bc21-b803,C1676,179.4
b83d66d9-4d28,C10595,179.0
40ba0ccd-ac57,C4440,296.67
5e479b1f-64ea,C5633,116.11
8a773f43-ed48,C11074,177.2
879eb50b-dff5,C1818,88.43
45089bd9-027a,C6303,382.5
2ae5e245-fd2e,C10660,120.87
5045f407-7633,C7629,48.47
8e7a51b9-8879,C2781,176.59
f7b8afb8-3453,C10479,638.4
1ebd7498-9d3d,C8375,166.5
63366a92-0aaf,C7712,161.81
98c92d22-df7e,C2928,199.27
2639ab0c-dd69,C10262,69.78
a99ba255-64aa,C3120,229.43
c2836e1c-e502,C5186,105.91
d35bef15-d067,C10795,91.65
ba52dd37-06ee,C1764,176.75
09ae7de4-83e8,C7500,219.8
623a8d7f-d66b,C2008,153.9
4a7a2e7f-8b64,C7959,194.59
4606081f-8735,C1065,280.17
bf5425bc-15a2,C1646,75.07
f3c13720-ce6f,C5718,480.71
bb4a085f-1d37,C4370,181.1
b7c676dc-2d15,C6024,1310.67
aa85d154-a880,C6182,52.86
7d1790c0-aefa,C9240,140.06
d2c7b8d5-b402,C7791,192.88
1d6528e3-662c,C10634,165.0
852abde5-14a4,C10660,120.87
f17a4822-4b10,C3422,3169.0
b2acebc4-5727,C48,154.87
897e4296-62f2,C7325,318.2
9b1dacb2-ed57,C3623,41.05
f35134ca-ff3e,C7196,90.21
98e52e15-fc8d,C2416,198.14
2877e818-a7e8,C10827,307.8
2ed3f7f6-3f81,C5538,498.86
b9f9c27a-7ec7,C4399,159.0
db597eb1-27db,C9606,416.43
20c56128-5cbf,C3479,116.67
3bb2d530-fb88,C7433,310.0
7e915be6-392d,C5513,196.62
0762412f-8363,C7224,108.83
af740300-21fb,C10500,82.69
6d8394d0-3e0d,C5029,150.8
68478702-c29a,C11030,98.71
8f956534-a679,C5623,164.12
5ab59fd6-d2e2,C10981,269.92
40f22271-51c0,C879,690.0
0836c455-774a,C322,161.18
e5caff39-ef45,C195,404.25
40f0dbae-23c4,C4432,658.5
dbd8edc4-6d16,C2875,186.13
0f80e0a0-57dc,C1463,125.4
7271ec8d-7f1c,C8799,198.75
ff5ee28b-46fa,C9014,85.83
9f612785-8d34,C11188,77.64
b910c05a-8820,C9381,251.36
fed3a44d-5b81,C310,234.36
548365a5-c07e,C11051,153.52
5b34b2ec-2b6c,C4399,159.0
43eab57b-322b,C8746,196.44
dc17911e-094e,C2928,199.27
efdd8289-282e,C6086,334.9
9d83ca79-a76f,C1839,120.33
0300be06-a416,C10972,143.43
069564fd-6abd,C1743,170.82
736b5adf-ff44,C4786,392.25
be25afc0-0ed5,C663,141.6
b4bfda32-b637,C7699,1691.0
00b2c879-bf7a,C6646,57.33
b566eb65-a7df,C7990,114.4
0dec7087-9cac,C9988,1466.0
c7eb25f0-dd82,C2109,1345.0
72a2690e-9354,C6255,209.93
6fa92ddc-9526,C10548,148.25
74829865-81f4,C1183,189.62
f347c777-0dff,C9384,251.36
144f1e4e-a8a7,C1940,95.64
4174fd52-b23f,C1958,163.71
5e491527-5ad9,C10037,206.33
91f95bb3-df5f,C10129,149.3
405bc512-88e9,C2415,144.83
ae58e098-6c52,C1581,173.11
8a1274f2-f103,C7408,162.29
de740277-984d,C6384,134.5
0fa71e7e-cf41,C11191,287.5
0d527dc0-7ac6,C10949,276.36
22d4e62b-d8eb,C7458,291.0
5e3caf4b-7049,C6859,174.0
c5210ae9-1b69,C3706,170.43
d73871ce-217d,C5721,159.27
408f9998-a580,C9477,123.68
86ba3a22-fc7d,C4791,1873.0
aa9e4d23-1147,C1139,179.76
7ee6fb3c-136d,C10470,847.0
06a7091b-d88e,C5286,170.9
31e56c8e-8aa2,C6466,103.65
f1eda7c4-bc55,C3463,169.76
7652f60b-f275,C7574,55.38
ca73b07d-4e99,C6383,85.62
4d2e91e7-b92e,C749,175.6
6d7e4ad0-f3d9,C2698,326.5
f0222873-3f5e,C1135,54.92
6c04b35a-c1fe,C2173,185.33
88205575-ee2f,C9349,350.45
0f2d66f5-70db,C907,174.73
95f1d8b3-83c7,C35,266.0
69c69ab3-0c46,C3515,199.69
26405d78-9f3b,C11171,237.3
762c6cf8-2628,C9668,71.18
030ff2e7-b857,C10833,169.5
c19ea484-26d4,C2115,122.82
7694c6f7-16a3,C4637,777.25
19e3875e-ace9,C5961,98.78
b20c320e-1128,C6663,304.29
22ae3c94-be56,C255,61.8
c572e72f-e008,C7990,114.4
0b793e0b-ba7d,C9392,59.11
8c0548cd-6612,C2613,161.29
dc32e5cc-08de,C9958,182.4
ce0b703a-ec1a,C6283,886.67
fa498456-85db,C5272,448.6
0628502b-4789,C10037,206.33
09959cfd-c01e,C310,234.36
fd11ae54-f5f4,C3152,77.64
2d509ae8-7b95,C5721,159.27
a055f219-afd6,C9422,319.6
00f61e0f-af15,C11176,119.48
86865ac1-d160,C5229,173.46
ad3467de-39a5,C7300,160.0
c82f1bfe-f9d8,C10159,1223.0
01edbd19-ffc2,C8746,196.44
841a2fbf-e411,C10448,979.0
2abbde0a-b5b9,C5723,93.14
229ee802-01ae,C153,107.67
b25a19ad-4533,C3068,76.4
6bd7f4ea-3195,C3409,167.11
74e28de3-9aca,C3759,452.67
14059914-a86e,C1277,163.45
e156a377-7ae4,C5080,326.44
19761784-7bbf,C10991,742.0
f1e03421-2efe,C4047,123.68
014882ec-c1ad,C4687,841.0
a86d4650-2a56,C10613,111.07
9fac0cfb-7d6b,C6606,1460.0
ae10430c-761b,C7270,197.83
ac426cee-ce54,C2589,61.89
cd9f2b23-bda8,C8312,69.24
71c66b90-1c3a,C2115,122.82
dde33f2b-b775,C7712,161.81
40f5ffe6-4336,C1127,210.35
b48524f3-072e,C2674,391.38
2b9c4a56-4da2,C1419,354.25
191f0330-1497,C5824,65.45
75d3ce3a-7c5c,C8397,88.67
15c26fce-edb2,C4548,174.8
2f5eb53c-4ad4,C7186,75.59
ad03311d-59b4,C4828,195.71
ef04ea59-3a4e,C5268,122.6
96a94273-e4ee,C3565,106.8
499707ed-0c42,C4148,406.0
02f36631-5e9f,C10069,142.75
a8b6d712-bcb5,C7527,989.0
26ac9c32-10cb,C1386,61.5
b5f7b552-8697,C640,238.7
8246de0b-5747,C5046,271.92
6f03300e-9baa,C6927,264.14
56778059-0f25,C5107,93.38
fa1aa39f-6331,C194,100.0
db4e055a-3215,C1833,102.0
f55c845a-dd43,C3428,572.2
390078b5-fdc0,C4331,297.67
1b698db3-ca5c,C8147,262.0
d2217b43-ae08,C807,142.92
4d1c137e-f406,C7275,462.67
f0abfe4e-875b,C1740,129.5
cdc1f38c-b86e,C3725,442.0
51737d26-0480,C8746,196.44
6950dc54-c49e,C1340,258.07
8f9b001b-df7c,C498,96.15
bd7ebc0d-a43b,C11176,119.48
d2b278c1-3d79,C5512,145.38
717bf096-d59c,C4654,521.5
8141f003-e738,C4998,198.12
614db0a8-a5c6,C5474,162.91
e632719c-bfb5,C9576,134.6
529614d2-f8e0,C9952,325.3
2f075cc9-d646,C8147,262.0
6988d63c-4a04,C2829,129.38
a0cc82bd-4ce4,C6262,334.33
c2cea2c0-addf,C3153,242.43
12038268-f0c7,C9485,91.1
3396dfc7-851e,C8086,176.0
31a8e8e0-3565,C7053,653.4
c5db396c-9ae5,C6460,199.33
a469a8c4-0559,C221,676.67
e787eb2d-d129,C2639,86.48
da25fc56-abb4,C8439,155.35
eab000e6-bf22,C6999,181.38
201ba6a9-9c76,C3426,488.17
57be302d-6b98,C4297,74.38
9e1a5ffd-c217,C10141,181.56
56c650e3-e37e,C2579,269.36
d39daac7-0731,C5610,92.93
fef24277-cdd9,C5644,159.82
e406837d-e6b7,C4055,45.94
9cc3d22e-8e89,C7196,90.21
82d90b6b-7e52,C8477,108.9
710972a3-b6cc,C3535,197.29
8240421c-bc6c,C498,96.15
d348aaf6-af40,C2589,61.89
a2c4c85f-b0db,C10556,143.19
a71222a3-2945,C8852,636.0
ca7ea18d-3dd3,C5558,252.53
49a1cea7-d4a8,C6991,199.89
78466e04-6a4c,C8135,113.1
0557c660-4dc9,C2826,94.0
b3a0aa40-5f21,C7196,90.21
f85e3615-55a8,C255,61.8
f081e8b2-fe5d,C2453,654.0
b1157f7d-3825,C6261,241.7
3f80aff4-1cfd,C5067,256.77
4420d485-78ff,C2532,255.0
c4e95ca0-88ba,C2534,104.73
e9ad0e97-48dd,C309,1319.5
b4cbd0e2-c154,C3910,498.86
5687e9a7-93cc,C3007,196.62
710531dc-377c,C11188,77.64
66c451e8-9ea5,C10521,228.3
c1894dc6-22a7,C1857,115.53
b37bc023-d33c,C10352,285.0
99f55a9c-16fd,C7004,229.0
8a3ee47e-2a51,C24,54.92
a9850b25-1438,C8931,216.19
47d2148c-d763,C437,260.42
815cc9c3-e8d8,C2891,315.33
c6349822-71f7,C10133,169.87
d87ff0b1-271d,C2798,425.6
b83662c5-56b3,C3439,1181.5
6a9da6b8-0b20,C8299,141.6
09e43215-472d,C6605,210.64
ff7e6bd8-0bb8,C7414,608.67
be288685-a783,C3426,488.17
524af435-fc31,C4246,24.82
d02b8639-9e9f,C749,175.6
5fdb1f02-8c17,C1010,130.33
68c32657-eebf,C1506,351.2
ecefe5f4-254a,C1351,814.67
d2b3dd0e-55a0,C1857,115.53
57be4578-76d0,C5863,496.75
11045ab9-9bc4,C6303,382.5
3f1ef325-7b48,C8443,49.1
ad9b6ed8-8790,C9958,182.4
92c889fb-e869,C7230,263.5
8c1269b1-8228,C1020,144.17
e3693a84-82ef,C4070,359.27
37fe2399-2faf,C1577,251.77
e64d60ff-c423,C1135,54.92
4633b5f1-78a5,C7990,114.4
157e36a7-994c,C11030,98.71
afd271fb-6d95,C905,101.11
bdad9138-9155,C10469,230.0
f2ae5569-b15a,C3602,178.5
75377141-5693,C6534,133.0
3b5aefea-4567,C5474,162.91
a840d398-8e29,C5113,604.0
de56e846-23b6,C9970,256.33
e1ce1f3d-d735,C5429,271.29
892d682c-f975,C4298,60.79
be5bd65e-5c1c,C7037,154.5
eec8fe96-c842,C9703,793.5
e0364e0e-784d,C5313,106.07
f3f9118d-8a8b,C2478,132.25
880416b3-526a,C7627,3840.0
829365c6-4ac0,C4136,34.67
5af48e8e-d695,C7381,525.5
bc4376a9-9f04,C8663,104.12
5531c789-e924,C10779,61.47
0461e5d6-4cef,C1168,1503.0
c0714c06-34eb,C4055,45.94
05bc20e4-f572,C709,715.67
f37cb383-ee39,C10424,395.38
4b49ed91-5d7e,C9298,212.38
5c68bd6d-284e,C1340,258.07
fdd22a21-ee3d,C4381,276.43
daaa29a8-7e61,C9964,429.33
5909f1dd-fd89,C9972,127.8
498db8fe-9c84,C10548,148.25
aeb2ef6f-51bb,C3924,172.36
1a8d6052-b560,C202,213.62
2155041f-b8aa,C11074,177.2
4f828581-e9f4,C347,424.75
f23388ea-271e,C10146,124.62
c886c3b5-3dec,C1371,185.0
82424ac3-bb95,C5299,287.8
36243e0d-39d3,C4094,630.5
bc457e2c-00b8,C5068,135.71
f0d886a8-5626,C538,91.48
2d12db30-871d,C5758,226.25
a4fb9364-a064,C5371,47.05
037a4d02-517c,C4973,38.95
9bb8d107-de58,C3388,295.1
f576645a-32b7,C11088,1092.0
a382e4cc-f3f2,C3332,310.0
09d1c951-0236,C1371,185.0
f8a6dc91-9c8a,C7409,246.22
1027d916-41ce,C9362,180.31
040239ab-6d02,C10846,107.29
c527bf89-9f85,C5899,16.79
ed732d6a-3ad8,C4322,294.91
f46451ca-a360,C2945,127.8
05752885-08cd,C1077,337.57
cbfb37de-570a,C10413,201.53
d8cee54b-11e8,C1307,87.45
faaa63a0-02a7,C10420,120.75
3970a288-1fcd,C8594,161.92
87c66040-b1bb,C4725,140.6
4ca0ea66-46b2,C938,239.29
701bf030-af10,C10142,461.5
7150c685-5416,C1371,185.0
91d58f0c-9c55,C10613,111.07
1bbfc4fa-92f2,C4543,1718.5
a944e1bf-be45,C1321,362.0
50bb0eaa-4525,C6637,2789.0
6c5048df-a722,C10424,395.38
724f3630-7799,C10779,61.47
0db1e5a3-65db,C5232,221.54
b288e4d7-f5fb,C2021,1280.0
6f4c6c24-5ffb,C6203,443.29
db3be901-3ef4,C7433,310.0
0439f663-538a,C8492,392.88
80b6431a-d318,C9284,321.29
1cd702c9-8ad9,C10022,113.45
fbc661f9-f34a,C9687,179.29
1e6bbab2-f654,C5267,708.0
884521fe-8b3c,C6950,187.73
a3471e07-d349,C11086,89.25
7ad1152c-15c1,C1581,173.11
f5a440df-67f0,C193,46.15
0ae178c9-8ca0,C7037,154.5
767a2036-28e5,C8275,97.95
5e09e66d-a929,C6409,595.0
eb2e32a2-0683,C10236,162.25
b77f8a1c-a03b,C11191,287.5
933a8d44-a489,C55,468.6
ee1f1bf5-30de,C6019,103.07
729dfc7a-067a,C10129,149.3
d04c0ce4-0163,C3565,106.8
9303c23c-1d1c,C9386,122.82
e51e9c7e-0ad1,C9687,179.29
32b2965a-517b,C6382,112.94
d79ee3da-9d3c,C3005,290.0
b22a24a0-45ef,C9145,604.2
fa5e2823-3902,C1740,129.5
